0,1,2,3,4,5,6,7
0,1,1,[ 9  1 17],[ 9 10 13],17.0,9.0,8.0
1,3,1,[18  2 34],[26 14 13],17.0,6.5,8.0
2,3,3,[31 13 34],[43 18 13],11.333333333333334,4.333333333333333,2.333333333333334
3,3,3,[44 24 34],[60 22 13],11.0,3.25,2.0
4,1,3,[57 35 34],[69 32 26],11.4,5.2,2.0
5,1,3,[70 46 34],[78 42 39],11.666666666666666,6.5,2.0
6,1,3,[83 57 34],[87 52 52],11.857142857142858,7.428571428571429,2.0
7,1,3,[96 68 34],[96 62 65],12.0,7.75,2.0
8,1,2,[106  86  38],[105  72  78],11.777777777777779,8.0,2.0
9,1,2,[116 104  42],[114  82  91],11.6,8.2,2.0
10,1,2,[126 122  46],[123  92 104],11.454545454545455,8.363636363636363,2.0
11,1,2,[136 140  50],[132 102 117],11.666666666666666,8.5,2.0
12,2,2,[146 158  54],[133 120 128],12.153846153846153,9.23076923076923,1.76923076923077
13,2,2,[156 176  58],[134 138 139],12.571428571428571,9.571428571428571,1.4285714285714288
14,2,1,[165 177  75],[135 156 150],11.8,9.0,1.4285714285714288
15,2,1,[174 178  92],[136 174 161],11.125,8.5,1.4285714285714288
16,2,1,[183 179 109],[137 192 172],10.764705882352942,8.058823529411764,1.1932773109243708
17,1,1,[192 180 126],[146 202 185],10.666666666666666,8.11111111111111,1.095238095238095
18,1,1,[201 181 143],[155 212 198],10.578947368421053,8.157894736842104,1.007518796992482
19,1,1,[210 182 160],[164 222 211],10.5,8.2,0.9285714285714288
20,1,1,[219 183 177],[173 232 224],10.428571428571429,8.238095238095237,0.8571428571428577
21,1,1,[228 184 194],[182 242 237],10.363636363636363,8.272727272727273,0.7922077922077921
22,1,1,[237 185 211],[191 252 250],10.304347826086957,8.304347826086957,0.7329192546583858
23,1,1,[246 186 228],[200 262 263],10.25,8.333333333333334,0.6785714285714288
24,1,1,[255 187 245],[209 272 276],10.2,8.36,0.6285714285714281
25,1,1,[264 188 262],[218 282 289],10.153846153846153,8.384615384615385,0.5824175824175821
26,1,1,[273 189 279],[227 292 302],10.333333333333334,8.407407407407407,0.5824175824175821
27,3,1,[282 190 296],[244 296 302],10.571428571428571,8.714285714285714,0.5824175824175821
28,3,1,[291 191 313],[261 300 302],10.793103448275861,9.0,0.5824175824175821
29,3,1,[300 192 330],[278 304 302],11.0,9.266666666666667,0.5824175824175821
30,3,1,[309 193 347],[295 308 302],11.193548387096774,9.516129032258064,0.5824175824175821
31,3,1,[318 194 364],[312 312 302],11.375,9.4375,0.5824175824175821
32,3,3,[331 205 364],[329 316 302],11.030303030303031,9.151515151515152,0.5824175824175821
33,3,3,[344 216 364],[346 320 302],10.705882352941176,8.882352941176471,0.5824175824175821
34,3,3,[357 227 364],[363 324 302],10.4,8.628571428571428,0.5824175824175821
35,3,3,[370 238 364],[380 328 302],10.277777777777779,8.38888888888889,0.5824175824175821
36,1,3,[383 249 364],[389 338 315],10.35135135135135,8.513513513513514,0.5824175824175821
37,1,3,[396 260 364],[398 348 328],10.421052631578947,8.631578947368421,0.5824175824175821
38,1,3,[409 271 364],[407 358 341],10.487179487179487,8.743589743589743,0.5824175824175821
39,1,3,[422 282 364],[416 368 354],10.55,8.85,0.5824175824175821
40,1,3,[435 293 364],[425 378 367],10.609756097560975,8.951219512195122,0.5824175824175821
41,1,3,[448 304 364],[434 388 380],10.666666666666666,9.047619047619047,0.5824175824175821
42,1,3,[461 315 364],[443 398 393],10.720930232558139,9.13953488372093,0.5824175824175821
43,1,3,[474 326 364],[452 408 406],10.772727272727273,9.227272727272727,0.5824175824175821
44,1,3,[487 337 364],[461 418 419],10.822222222222223,9.28888888888889,0.5824175824175821
45,1,2,[497 355 368],[470 428 432],10.804347826086957,9.304347826086957,0.5824175824175821
46,1,2,[507 373 372],[479 438 445],10.787234042553191,9.319148936170214,0.5824175824175821
47,1,2,[517 391 376],[488 448 458],10.770833333333334,9.333333333333334,0.5824175824175821
48,1,2,[527 409 380],[497 458 471],10.755102040816327,9.346938775510203,0.5824175824175821
49,1,2,[537 427 384],[506 468 484],10.74,9.36,0.5824175824175821
50,1,2,[547 445 388],[515 478 497],10.72549019607843,9.372549019607844,0.5824175824175821
51,1,2,[557 463 392],[524 488 510],10.711538461538462,9.384615384615385,0.5824175824175821
